pageTitle,text
Unread VS Read - Must Manually Mark as Read,How to mark the Conversation as read: 1. Click Mark as Read 2. Reply to the conversation manually 3. Use workflow action to edit conversation 4. Toggle on Auto Mark as Read in the workflow settings
How to Set Up Call Tracking (Number Pool),"Number pools are a great way to track the calls driven by paid campaignsUsing number pools, you can attribute call-tracking conversations based on specific phone numbers being shown to leads that land on designated landing pages and websitesThese numbers(s) are only displayed on specific pages and are only shown to leads who take a specific course of actionThey’re also known as “call tracking codes,” but we call them “number pools.” In this article, we’ll go over how to set up number pools so you can start collecting data about your visitorsCovered in this article: How to set up number pools for call tracking How To Test Number Swapping How To Set Up Keyword Tracking To swap numbers in a button: Group ID FAQs 1Why must we set up number pools to track calls? How to set up number pools for call tracking Update: We can't enter gclid in the URL to imitate Google ads nowIt should be from the actual Google adsPlease Note: Update (July 29, 2020) For US Numbers (10-digit local numbers), you can now put the number in any one of these three formats 111-222-3333, 111.222.3333, or (111) 222-3333, and the swap script will recognize and swap the numberClick on Settings Click on Phone Numbers > Add Number PoolClick on Track visitor activity (optional) Once you pick which visitors you want to track, Click on Next: Create Pool We recommend tracking All visitorsIf you select PPC search, the number on the website will only switch when the visitors are landing from a paid adOnce you fill out all information, Click on Next: Tracking Options Choose Phone number(s) Set up Whisper Message / Call recording Click on Activate Number Once you set up the number pool, you can click on the information icon to integrate the snippet on your website: Copy the Normal Snippet 1Click on Sites > 2Pick your Funnels/Websites > 3Settings 4Paste the copied Normal snippet at the bottom of your Body Tracking code 5Click Save This will swap the number within the entire Funnels/WebsitesIf you want the number to swap on one single funnel/website page, click on Edit Page Click on Settings > Tracking Code on the top left Paste the copied Normal snippet in the Footer code and click Yes, Save Head back to our number pool setup: Click on Tracking Number 4 Numbers highlighted in the screenshotCopy the swapping Number and paste it on the Funnels/websitesIf you want to update the swapping number, you can click on the Edit icon here: Uncheck the option ""same as forwarding number"" and set your own swapping number: Now you can paste the swapping number on the website: Once the number pool is set up and running, you can view the keyword column under Reporting in the Call Reporting tabYour website visitors search the keywords, then they land on your website and call the tracking number, we will be able to attribute the source, and keyword in the call reporting tabAfter you scroll to the right and click the arrow down button here, you can also look at the link the contact was visitingYou can also click the contact's name to view their activities: How To Test Number Swapping Once you've added the tracking script to the Body of your webpage, you can test that the number swap is working by opening an incognito browserYou would enter the following into your incognito browser yourwebsite.com/landing-page then hit enterIf the Tracking Option All Except Direct is selected, we must link the landing page URL from another webpage instead of entering the link directly from the browser to teste.glink Apple Smiles with yourwebsite.com/landing-page How To Set Up Keyword Tracking For HighLevel to display the keyword that was searched before the call was initiated, you'll need to add the following parameter to the ad URL in Google Ads: ?keyword={keyword} So if you have a Google Ad with a url like yourwebsite.com/landingpage you would update that url to be: yourwebsite.com/landingpage/?keyword={keyword} Related: New Feature Released -- Call Tracking!! To swap numbers in a button: You can use an anchor tag and set href with the phone no and text as you wante.g<a href=""tel:(972) 421-5139"" class=""btn btn-blue"">Call Us</a> Group ID It will help to swap only one number but not each and every number from different number poolsSo it will find the best matching number pool and swap numberUse-case Example: If the user is running two adsIf the leads land on the first ad, the website will show a different number; if they land on the second ad, the website will show another different numberThen they need to change the source according to the ad and set the group using a Group IDEdit the number pool > Click on Add/Edit Group Id > Name the group Id > Click UpdateYou can click on the information icon to copy the Group snippet to integrate it in the footer of your website: FAQs 1Why must we set up number pools to track calls? We recommend setting up call tracking for all sourcesWe can determine how they arrive at your website by switching the phone number as soon as leads land from different sourcesFor example, for real live Google ads, there are &gclid parameters at the end of the landing URLThat’s how our snippet code sees them and switches the number accordingly, so once they call that tracking number, we match up with the website cookies, link them, and attribute the source to the leadsOnce the website visitors call the tracking number, we can attribute keywords in the Call reporting tabSo this column keyword will be filled out with those data: 2What is the cost/price for setting up a Number Pool? The standard phone number monthly fee and usage charges apply to a number pool just like a standard phone number within HighLevel"
How to connect your HighLevel Sub-Account with Zapier," Are you using HighLevel for your business and looking to streamline your workflow further? Have you considered integrating it with Zapier? Zapier is a platform that allows different apps to communicate instantaneously to automate workflows. By integrating HighLevel with Zapier, you can automate tasks such as lead capture, updating contacts, and much more. Check out our developer's docs here. Connecting HighLevel with Zapier may seem daunting, but it’s straightforward. In this video, we'll walk you through the steps to connect your HighLevel sub-account with Zapier to start automating your business processes like a pro. Please Note: HighLevels official Zapier connection is whitelabeled. Click on the image or here to get started. Other Relevant Docs: [PRO plan Agencies only] Creating Subaccounts Using Zapier Connect ServiceTitan + HighLevel (Zapier) Making Your Whitelabel Zapier Connection Public How to add Business Name in Zapier "
Trigger Links - Overview,"More Tutorials From the Community https://www.youtube.com/watch?v=eT71mC5y3cA&feature=youtu.be Trigger links are a useful method to redirect a user to a specific page after they click on it within an SMS or emailWhen a user clicks on the trigger link, the system will record it in the contact's activity timeline and trigger a pre-defined action within a workflowWithin the workflow build there are actions and triggers that you can fire off a trigger link clickPlease Note: Trigger links are supported in SMS and Email ONLYCovered in this article Trigger Link use case Trigger links in Workflows Trigger links in Campaigns Trigger Link How-to's How to use Custom Values and trigger links to change your URL dynamicallyHow to use the Workflow Wait step for a Trigger link ClickHow to set up unsubscribe trigger links by communication channels (SMS, Email, GMB, FB/ IG) FAQ How do I brand my trigger links? How do I find the contacts' activity timeline? Trigger Link Use Cases Dynamic URL Updates in Email Campaigns: Use trigger links to dynamically update URLs in your email campaignsFor instance, if you run monthly or quarterly promotions and want to use the same email template, you can set up a trigger link with a custom value that points to the current promotion URLWhen a contact clicks on this link, it takes them to the latest promotion pageThis way, you can reuse your email template without manually updating the links each timeWorkflow Automation Based on Trigger Link Clicks: Set up workflows that respond to trigger link clicksFor example, you can create a workflow that sends appointment confirmations and remindersWhen a contact clicks on a trigger link in an appointment reminder email, the system records the click and triggers the next step in the workflow, such as sending a survey or review requestUnsubscribe Links for Different Communication Channels: Implement unsubscribe trigger links for various communication channels, including SMS, Email, Google My Business (GMB), Facebook, and InstagramA contact who clicks on these links will be unsubscribed from the respective channelThis ensures compliance with opt-out regulations and helps manage communication preferences effectivelyBranding of Trigger Links: Customize the appearance of your trigger links to match your agency's brandingBy setting up your API domain (see FAQ below), you can ensure that trigger links display your agency's domain, providing a more professional and branded experience for your usersTracking Contact Activity: Use trigger links to track a contact's engagement and actions within your SMS and email campaignsWhen a contact clicks on a trigger link, their activity is recorded in the contact's activity timelineThis information can be valuable for assessing their behavior and campaign effectivenessEducational Resources in Campaigns: Embed trigger links within your email campaigns to provide educational resourcesFor instance, you can include links to tutorials, how-to videos, or articles related to your products or servicesClicking on these trigger links can trigger automated follow-up actions or track a contact's interest in specific topicsEvent Registration and Updates: If you're organizing events, use trigger links in your email invitationsWhen recipients click on the trigger link to RSVP or get event updates, you can automate the process of confirming their attendance, sending event details, or collecting additional informationProduct Recommendations and Personalization: In your email marketing, incorporate trigger links that lead contacts to personalized product recommendations based on their preferences and past interactionsTriggering this link can initiate automated processes to tailor future communications and product offeringsTrigger links in Workflows If you would like to see the continued setup for this workflow, please check out: How to use the Workflow Wait step for a Trigger link click Check out this how-to guide: Build Automated Appointment Followup Surveys with HighLevel WorkflowsTrigger links in Campaigns Trigger Link How-to's How to use Custom Values and trigger links to change your URL dynamicallyThis is great if you're running promotions monthly or quarterly and want to use the same workflowUpdate your custom value URL to point to your new ""offer URL,"" and the system will dynamically update the trigger linkPlease Note: - This will not retroactively affect any previous link URLs from past campaigns- When setting up your workflow please make sure to add the ""trigger link"" to your SMS or Email message bodyPlacing the ""Custom Value"" in the message body will not ""fire"" the trigger link when clickedHow to use the Workflow Wait step for a Trigger link ClickThis video covers how to use a ""wait"" step action within a workflow to trigger the next step based on a trigger link clickThis workflow can be found in your workflow library as ""Recipe - Appointment Confirmation + Reminder + Survey + Review Request."" How to set up unsubscribe trigger links by communication channels (SMS, Email, GMB, FB/ IG) Please Note: By default the SMS carriers have prebuilt opt-out keywords like ['STOP', 'STOPALL', 'UNSUBSCRIBE', 'CANCEL', 'END', 'QUIT']When these keywords are used the lead/ contact will automatically be unsubscribedTo opt back-in the lead/ contact will need to respond ""Start""FAQ How do I brand my trigger links? To set up your API domain to show your agency domain, please click here: Setting up my agency API DomainCurrently, you cannot set each location/subaccount to have its own API domainYou can add one domain that will be shared across all locations/ sub-accountsHow do I find the contacts' activity timeline? Click on contacts > Smartlist > search for the contact > Click on 'activity' What does the 'Timeout' toggle in the Wait Action do? When enabled, the timeout function will skip the Wait Action (step) after the amount of time you define in the input box under the toggle (visible only when it is enabled)"
SMS Templates (Snippets) - Overview," Now you can easily create and save templates, eliminating the need to repeatedly write the same emails or SMS. This feature allows you to maintain consistency in your marketing efforts. SMS TEMPLATES On your subaccount, click on conversations Click on 'Templates , Here, you can create, edit, or delete your templates. EMAIL TEMPLATES On your subaccount click on marketing Click on 'Templates, here you can create, edit, or delete your EMAIL templates, in here you can also manage your SMS templates. You will be able to use your SMS templates (snippets) in conversations, triggers, campaigns, and workflows. "
How to Purchase a Phone Number in a Sub-Account,"More Tutorials from the Community https://youtu.be/dPnqcQhfWHg https://youtu.be/wjAJ1T6iXks https://youtu.be/LDrc_G26bgE Before you continue with this guide, please make sure you have set up your agency telephony providerIf you still need to, please follow this guide first, as you can only purchase a phone number once a provider has been selectedCovered in this article How to buy a Phone Number within a Sub-Account Step-by-step on how to purchase a phone number in a sub-account Other Relevant Documentation How to buy a Phone Number within a Sub-Account How do I Migrate an Agency and Sub-Account to LC - Phone? Step-by-step on how to purchase a phone number in a sub-account 1At the top left, click here to switch to the sub-account where you want to purchase a phone number2Once you are in the sub-account, click on Settings 3Click on Phone Numbers 4Click on Add Number 5Select the Country you want to purchase the number forHere's a list of countries supported by LC Phone System/ Twilio: Twilio international phone number availability and capabilities If the country you want is on the list but not visible within the system, you can **buy the number through the Twilio console for the location(**ONLY applicable to Agencies who have integrated Twilio as the default telephone provider) A regulatory bundle/Address is required if your agency resides outside the USA or CanadaPlease Note: Regulatory Bundles/Address are an industry-standard practice, not a HighLevel-specific requirementIf your sub-account is outside of the USA and Canada, we highly recommend that you complete the regulatory bundle/address registration for the best telephone experienceIf you are using Twilio as your agency phone provider, please check out how to Purchase a Twilio Number - ""Please Select Bundle/Address to Purchase Number."" Other Relevant Documentation How to Set Up Call Tracking (Number Pool) LC Phone Users: How do I Migrate an Agency and Sub-Account to LC - Phone? Compliance - LC Trust Center LC - Phone Messaging Policy LC - Phone Pricing Structure Regulatory Bundle and Address Creation for Sub-Accounts Twilio Users: How to buy a Twilio number for the HighLevel location in Twilio Twilio's international phone number availability and capabilities How to request a Twilio number that's not available? Purchase Twilio Number - ""Please Select Bundle/Address to Purchase Number."""
Import Existing Twilio Numbers into HighLevel,"1. Is the number you want to import a Twilio number? Yes - go to 2. No - Check out how to port a Phone Number to Twilio here 2. Once it's ported as a Twilio number, How to import an existing Twilio phone number into a HighLevel client account? how to move Twilio numbers from your client's Twilio account to your own Twilio account here. How to locate the gaining SID for the account: 1. Click on sub-account name on the top left 2. Click on Switch to Agency View 3. Click on Settings 4. Click on Phone Integration 5. That's the master Twilio account SID 6. Click on Sub Account Settings 7. Click on the pencil icon on the right for the sub-account you want to move the number to 8. That'd be the gaining Account SID for the sub-account you want to move the number to Click on Update Credential to update the Twilio Account SID and auth token for the sub-account"
Deleting / Resetting a Twilio Number," Once you are in the subaccount, click on Settings (bottom left) Click on Phone Numbers Click on the trash icon to remove the number Once you confirm by typing Delete below, Click on Confirm Delete If you want to keep/reset the twilio number webhooks, click on NO here so the number will still exist in your Twilio sub-account. Otherwise, confirm by typing Release below and click on Confirm Release. Once you click on NO, Click on Add to add back the Twilio number to the account, this helps to reset the Twilio number's webhook Learn more about Restoring a previously released phone number "
Call & Voicemail Drop Events,"Voicemails are a great way to reach customers and let them know about your businessVoicemail drops are a quick and inexpensive way to determine if your messages are getting throughYour voicemail drop could be the first step towards increasing sales and customer satisfactionGet started right away by ordering your free voicemail drop from our websiteIn this article, we will cover Call and Voicemail drop eventsCovered in this article: How to set up automated calls and voicemail drops in Workflows After you configure the workflow trigger By default, the call whisper states, ""You have a new lead, John SmithPress any button to connect""How to set up automated calls and voicemail drops in Campaigns FAQ's My voicemail file is not workingA quick video on how they work and some gotchas to be aware ofPrerequisites: - You have already purchased a number in your subaccount (LC Phone Guide) or (Twilio Guide) - You have pre-recorded Audio files that are mp3/wav files (64kbps ) How to set up automated calls and voicemail drops in Workflow Once you are in the subaccount, click Automation on the left menuClick on Create WorkflowClick on Start from scratch… then Click on Create a new workflowAfter you configure the workflow trigger Click on Add your first ActionClick on Assign to User if you want the calls to go to the assigned user's phone number configuredIf no one is assigned, the calls will route based on the Inbound Call Routing - ExplainedClick on Call, then followed by a voicemail actionWhat happens By default, the call whisper states, ""You have a new lead, John SmithPress any button to connect""You can modify the Call whisper message here: Voicemail detection When the lead can't answer the call, you will hear this message: ""Couldn't connect with the lead,"" and the call endsYou can't leave a personalized voicemail if this occursTo leave a personalized voicemail with our Call event, go to the settings of the call step, and you can turn on ""Disable Voicemail Detection."" You can upload the voicemail file here: FAQ's My voicemail file is not working1go to https://online-audio-converter.com/ and upload the voicemail fileOtherwise, you can create a new file here https://www.rev.com/onlinevoicerecorder 2Select 64kbps MP3, the lower the better 3Upload back to HighLevel voicemail campaign/workflow A quick video on how they work and some gotchas to be aware of: TLDR; Voicemail drops rely on a carrier trick, this is how all voicemail drops work, and as a result they only work about 70% of the time"
Outbound Calls / Softphone - How It Works,"TABLE OF CONTENTS Blind Transfer Warm Transfer FAQs: 1. If I log in as the user with an assigned Twilio number, why are calls going from the default Twilio number? 2. Why Call disconnected in mobile app only? 3. I can't dial out from the sub-account, call drops right away when I try to call out using the dialer 4. Why I Cannot find contacts in live transfer window - warm transfer? Blind Transfer Search Contact, click on the Contact to Transfer & End the current call Warm Transfer Search Contact, click on the Contact to Call & Hold the current call, once they pickup, we can merge them. FAQs: 1. If I log in as the user with an assigned Twilio number, why are calls going from the default Twilio number? Calls will be dialed out from the user-assigned Twilio number only if the user has only assigned data enabled and the user role is User. If the user doesn't have only assigned data enabled and the user role is an Admin, we will use the default Twilio number to call. To switch the number to use for outbound calls, once we click on the dialer, we can select the Twilio number from the Call from dropdown here: 2. Why Call disconnected in mobile app only? 3. I can't dial out from the sub-account, call drops right away when I try to call out using the dialer Check out Troubleshooting Outbound Calls using Dialer on Desktop Web App 4. Why I Cannot find contacts in live transfer window - warm transfer?"
